Місто,Дата,Час,Вік,К-ть
Угринів,2021-02-03,2021-02-03 14:00:00,20-29,1301
Загвіздя,2021-02-01,2021-02-01 12:00:00,30-39,1298
Угринів,2021-02-04,2021-02-04 13:00:00,20-29,1296
Богородчани,2021-02-05,2021-02-05 13:00:00,30-39,1290
Угринів,2021-02-05,2021-02-05 14:00:00,20-29,1289
Загвіздя,2021-02-03,2021-02-03 13:00:00,30-39,1283
Крихівці,2021-02-10,2021-02-10 08:00:00,30-39,1282
Загвіздя,2021-02-09,2021-02-09 10:00:00,30-39,1281
Угринів,2021-02-03,2021-02-03 16:00:00,20-29,1281
Крихівці,2021-02-11,2021-02-11 08:00:00,30-39,1277
Угринів,2021-02-05,2021-02-05 15:00:00,20-29,1277
Загвіздя,2021-02-09,2021-02-09 12:00:00,30-39,1275
Крихівці,2021-02-15,2021-02-15 16:00:00,30-39,1273
Загвіздя,2021-02-04,2021-02-04 13:00:00,30-39,1266
Угринів,2021-02-03,2021-02-03 15:00:00,20-29,1266
Крихівці,2021-02-08,2021-02-08 18:00:00,30-39,1265
Загвіздя,2021-02-02,2021-02-02 11:00:00,30-39,1263
Загвіздя,2021-02-05,2021-02-05 15:00:00,30-39,1256
Угринів,2021-02-05,2021-02-05 12:00:00,20-29,1254
Угринів,2021-02-04,2021-02-04 12:00:00,20-29,1252
Угринів,2021-02-05,2021-02-05 13:00:00,20-29,1251
Загвіздя,2021-02-09,2021-02-09 13:00:00,30-39,1250
Крихівці,2021-02-05,2021-02-05 18:00:00,30-39,1249
Загвіздя,2021-02-03,2021-02-03 12:00:00,30-39,1249
Угринів,2021-02-12,2021-02-12 18:00:00,30-39,1244
Угринів,2021-02-01,2021-02-01 15:00:00,20-29,1244
Угринів,2021-02-02,2021-02-02 12:00:00,20-29,1243
Угринів,2021-02-02,2021-02-02 14:00:00,20-29,1242
Загвіздя,2021-02-04,2021-02-04 10:00:00,30-39,1241
Загвіздя,2021-02-04,2021-02-04 12:00:00,30-39,1241
Крихівці,2021-02-15,2021-02-15 10:00:00,30-39,1237
Загвіздя,2021-02-05,2021-02-05 11:00:00,30-39,1237
Угринів,2021-02-05,2021-02-05 16:00:00,20-29,1237
Угринів,2021-02-09,2021-02-09 12:00:00,20-29,1235
Угринів,2021-02-01,2021-02-01 17:00:00,20-29,1235
Крихівці,2021-02-01,2021-02-01 08:00:00,30-39,1232
Загвіздя,2021-02-02,2021-02-02 13:00:00,30-39,1231
Крихівці,2021-02-12,2021-02-12 17:00:00,30-39,1230
Крихівці,2021-02-02,2021-02-02 18:00:00,30-39,1230
Угринів,2021-02-03,2021-02-03 12:00:00,20-29,1229
Богородчани,2021-02-05,2021-02-05 12:00:00,30-39,1228
Загвіздя,2021-02-05,2021-02-05 16:00:00,30-39,1227
Загвіздя,2021-02-01,2021-02-01 13:00:00,30-39,1226
Загвіздя,2021-02-09,2021-02-09 15:00:00,30-39,1226
Крихівці,2021-02-02,2021-02-02 08:00:00,30-39,1225
Крихівці,2021-02-19,2021-02-19 09:00:00,30-39,1223
Богородчани,2021-02-05,2021-02-05 16:00:00,30-39,1221
Угринів,2021-02-05,2021-02-05 17:00:00,20-29,1221
Угринів,2021-02-13,2021-02-13 14:00:00,30-39,1221
Угринів,2021-02-01,2021-02-01 14:00:00,20-29,1220
Угринів,2021-02-08,2021-02-08 12:00:00,20-29,1220
Загвіздя,2021-02-05,2021-02-05 14:00:00,30-39,1219
Загвіздя,2021-02-09,2021-02-09 14:00:00,30-39,1217
Крихівці,2021-02-08,2021-02-08 08:00:00,30-39,1217
Угринів,2021-02-15,2021-02-15 08:00:00,30-39,1217
Загвіздя,2021-02-01,2021-02-01 14:00:00,30-39,1216
Богородчани,2021-02-05,2021-02-05 11:00:00,30-39,1215
Крихівці,2021-02-09,2021-02-09 08:00:00,30-39,1214
Крихівці,2021-02-03,2021-02-03 08:00:00,30-39,1211
Угринів,2021-02-04,2021-02-04 15:00:00,20-29,1210
Загвіздя,2021-02-09,2021-02-09 11:00:00,30-39,1209
Загвіздя,2021-02-03,2021-02-03 11:00:00,30-39,1209
Загвіздя,2021-02-16,2021-02-16 11:00:00,30-39,1208
Загвіздя,2021-02-04,2021-02-04 15:00:00,30-39,1208
Крихівці,2021-02-17,2021-02-17 09:00:00,30-39,1208
Угринів,2021-02-01,2021-02-01 16:00:00,20-29,1207
Угринів,2021-02-06,2021-02-06 16:00:00,30-39,1205
Загвіздя,2021-02-19,2021-02-19 13:00:00,30-39,1205
Угринів,2021-02-04,2021-02-04 16:00:00,20-29,1204
Крихівці,2021-02-04,2021-02-04 08:00:00,30-39,1204
Крихівці,2021-02-11,2021-02-11 18:00:00,30-39,1204
Угринів,2021-02-13,2021-02-13 12:00:00,30-39,1202
Загвіздя,2021-02-02,2021-02-02 15:00:00,30-39,1201
Загвіздя,2021-02-16,2021-02-16 12:00:00,30-39,1200
Крихівці,2021-02-09,2021-02-09 18:00:00,30-39,1200
Крихівці,2021-02-03,2021-02-03 18:00:00,30-39,1197
Крихівці,2021-02-12,2021-02-12 09:00:00,30-39,1196
Угринів,2021-02-13,2021-02-13 13:00:00,30-39,1196
Угринів,2021-02-02,2021-02-02 15:00:00,20-29,1195
Загвіздя,2021-02-09,2021-02-09 16:00:00,30-39,1195
Крихівці,2021-02-15,2021-02-15 17:00:00,30-39,1193
Угринів,2021-02-04,2021-02-04 14:00:00,20-29,1193
Загвіздя,2021-02-18,2021-02-18 15:00:00,30-39,1192
Загвіздя,2021-02-16,2021-02-16 15:00:00,30-39,1191
Угринів,2021-02-09,2021-02-09 15:00:00,20-29,1190
Угринів,2021-02-13,2021-02-13 15:00:00,30-39,1190
